id,title,description,serves,prep_time,cook_time,age_group,ingredients,method,image_url,views,last_viewed,recipe_url,dietary_info
,Breakfast Bean Hash,Our Breakfast Bean Hash is great for a weekend breakfast or brunch.,4,10,10,12Months,"['1 tablespoon unsalted butter', '2 garlic cloves, finely chopped', '300 g/10 oz cooked cold potatoes, cut into 1 cm/ in dice', '175 g/6 oz canned haricot or cannellini beans, drained and rinsed', '125 g/5 oz cooked carrots, cabbage or other leftover cooked vegetables, cut into small dice', '4 tomatoes, deseeded and finely chopped', '3 tablespoons tomato puree', '1 teaspoon mild smoked paprika', '6 tablespoon low-salt vegetable stock', 'Freshly ground black pepper']","['Heat the butter in a pan over a medium heat. Add the garlic + fry for 1 minute, stirring, until softened.', 'Turn the heat to medium-low, add the cooked potatoes, beans, cooked vegetables, tomatoes, tomato pure, smoked patria and stock to the pan. Stir until combined + cook for 9 minutes, stirring often. Add an extra splash of water if the mixture looks too dry.', 'Season the hash with a little pepper + spoon it into bowls. Sprinkled over the cheese, if using, and serve with fingers of toast by the side.']",,,,,Vegetarian
,Cheese & Chive Scones,"Light, fluffy scones with a savory twist, perfect for snacks or afternoon tea.",12,10,15,12Months,"['225 g/9 oz self-raising flour, plus extra for dusting', '1 teaspoon baking powder', '60 g/2 oz unsalted butter', '60 g/2 oz cheddar cheese, grated', '1 tablespoon snipped fresh chives (optional)', '115 ml/3 fl oz whole milk, plus extra for glazing']","['Present the oven to 200C/400F/Gas Mark 6. Line a large baking sheet with baking paper', 'Lift the flour and baking powder into a mixing bowl. Lightly rub in the butter with your fingertips until the mixture looks like fine breadcrumbs. Add the cheese and chimes, if using, then mix in the milk, a quarter at a time, with a fork and then your hands to make a smooth dough ? you may not need all the milk', 'Roll out the dough on a lightly toured work surface until about 2 cm/ inch thick. Cut out the scores using a 5 cm/2 inch cutter or bottom of a small glass', 'Place the scores on the lined baking sheet and brush the tops with milk. Bake for 12?15 minutes until risen and golden. Serve warm or cold and store the scores in an alright tin for up to 3 days']",,,,,Nut free
,Apple & Carrot Muffins,Moist and naturally sweet muffins packed with apple and carrot goodness.,24,10,15,12Months,"['4 tablespoons light olive oil, plus extra for greasing', '125 g/4 oz apple puree, such as Ellas Kitchen Apples Apples Apples', '125 ml/4 fl oz whole milk or milk of choice', '1 egg', '2 tablespoons clear honey', '225 g/9 oz self-raising flour', '1 teaspoon baking powder', '1 teaspoon ground cinnamon', '1 carrot, about 60 g/2 oz, finely grated']","['Present the oven to 180C/350F/Gas Mark 4. Lightly grease 2 mini muffin wins with oil (or cook one batch at a time)', 'Whisky together the oil, apple pure, milk, egg and honey in a jug until thoroughly combined', 'Mix the flour with the baking powder and cinnamon in a mixing bowl. Stir in the carrot until combined. Pour in the apple pure mixture and mix gently with a wooden spoon until just combined', 'Spoon the muffin mixture into the prepared tin(s) and bake for 15 minutes until risen and cooked. To test they are ready, insert a sewer into the middle of a muffin ? it should come out clean with no cooked cake mixture on it. Leave to cool for 5 minutes in the tin, then turn out onto a wire rack to cool completely. Store in an alright container for up to 5 days']",,,,,"Vegetarian, Nut free"
,Baked Banana Oat Squares,"Wholesome oat bars with a hint of banana, great for on-the-go snacking.",16,5,15,12Months,"['3 medium ripe bananas, peeled', '40 g/1?? oz unsalted butter, melted', '50 g/1?? oz roasted hazelnuts, finely chopped', '90 g/3?? oz rolled oats', '1 tablespoon clear honey', '?? teaspoon ground cinnamon', '8 raspberries (optional)']","['Present the oven 180C/350F/Gas Mark 4. Line a large baking sheet with baking paper', 'Mash 2 of the bananas (leave the remaining  to decorate) in a mixing bowl with the back of a fork until almost smooth. Mix in the rest of the ingredients until combined', 'Place helped tablespoonfuls of the mixture onto the lined baking sheet ? the mixture will make about 16. Press down each bite with your happened fingers into a neat round, about 1 cm/ inch thick. Bake for 15?20 minutes until golden and firm', 'Cut the remaining banana into 8 thin slices + gently press on top of the cooked warm biscuits. Leave the oath bites to cool for 5 minutes on the tray before transferring cool. They will keep stored in an alright container in the fridge for up to 5 days']",,,,,Vegetarian
,Watermelon Smoothie,A refreshing and hydrating blend of watermelon and other fruits.,6,5,0,12Months,"['500 g/1 lb 2 oz prepared watermelon, seeds removed and cut into chunks', '115 ml/3 fl oz fresh apple juice', 'juice of lime', 'watermelon, cut into 1 cm/ inch wide sticks, to serve (optional)']","['Using a blender, which the watermelon to a pure. Pour the mixture into a freezer-proof container and stir in the apple juice + lime juice. Cover with the lid and freeze for 2 hours', 'Remove from the freezer + stir with a fork to break up the ice crystals. Cover and return to the freezer for another 2 hours or until frozen', 'To serve, remove the container from the freezer about 20?30 minutes before serving to soften slightly. Using a fork, scrape the top of the frozen melon ice into loose crystals, then spoon the slash into bearers']",,,,,Not specified
,Fruity Lollies,Homemade frozen treats bursting with natural fruit flavors.,6,5,0,12Months,"['300 g/10 oz thick Greek-style yogurt', '1 large ripe banana, peeled', '1 teaspoon vanilla extract', '1 tablespoons clear honey or maple syrup', '150 g/5 oz strawberries, hulled']","['Using a blender, which the yogurt, banana, vanilla and honey or maple syrup until smooth and creamy. Pour half of the yogurt mixture into a jug + leave the remaining mixture in the blender', 'Add the strawberries to the blender + which again until smooth. Pour the strawberry mixture into the ice-holly moulds, then the banana yogurt mixture on top. Place in the freezer until frozen. They will keep for up to 3 months in the freezer']",,,,,Not specified
,Custard Pots,"Creamy and delicious baked custard, a comforting dessert for all ages.",4,5,10,12Months,"['2 large egg yolks', '300ml whole milk', '1 teaspoon vanilla extract', '1 tablespoon clear honey or maple syrup', '1 teaspoons cornflour', 'To serve:', '6 tablespoons thick Greek-style yogurt (optional) nectarines, mango, blueberries, strawberry, banana or fruit of choice, prepared as needed and cut into small pieces']","['Meanwhile, whisky the egg folks, vanilla, honey or maple syrup + cornflour with a balloon whisky in a large heatproof bowl until pale. Gradually, pour the warmed milk into the bowl, thinking continuously', 'Return the custard to the pan and heat gently over a very low heat, stirring with a wooden spoon until thickened. Leave the custard to cool slightly', 'Serve the custard plain, warm or cold, or stir into yogurt. Top with your little one?s favourite fruit. The fruit can also be pure and stirred into the custard']",,,,,"Vegetarian, Nut free"
,Turkey Meatballs,"Juicy turkey meatballs, perfect for pairing with pasta or veggies.",12,15,16,12Months,"['150 g/5 oz turkey mince, about 7 percent fat', '15 g/ oz fresh day-old breadcrumbs', '30g/1 oz feta cheese, crumbled', '1 spring onion, finely chopped', '1 garlic clove, grated', ' teaspoon mild smoked paprika or favourite spice mix', ' teaspoon dried thyme', 'olive oil, for cooking', 'freshly ground black pepper', 'To serve:', 'Cous cous', 'Hummus', 'Cooked fine green beans', 'Cooked carrots, cut into 1 cm/ inch wide sticks']","['Put the turkey since in a mixing bowl with the breadcrumbs, meta, spring onions and garlic. Next, add the patria and theme, season with pepper and mix everything together with your hands. Shape the mixture into 24 round balls, about 1 tablespoon of the mixture each, then flatter the tops slightly.', 'Heat a large non-stick frying pan over a medium heat and pour in enough oil to lightly coat the bottom. Cook the turkey balls in two batches for 4 minutes on each side until light golden and cooked through. Add an extra splash of oil when needed.', 'Serve the meatballs cut into quarters as finger food with humans, conscious and vegetable sticks. Any leftover meatballs will keep in the fridge in a added container for up to 3 days. To repeat place the meatballs in a baking dish, cover with foil, and warm in the oven until heated through.']",,,,,Not specified
,Lentil Dhal,"A warming, spiced lentil dish packed with nutrients and flavor.",4,10,15,12Months,"['175 g/6 oz dried red lentils, rinsed well', '550 ml/19 fl oz hot low-salt vegetable stock', '1 teaspoon turmeric', '40 g/1 oz unsalted butter', '2 teaspoons garlic granules', '3 garlic cloves, finely chopped', '55 g/2 oz frozen chopped spinach', 'Good squeeze of lemon juice', 'Warm naan bread, cut into wedges, or rice, to serve', 'Cucumber yogurt:', '125 ml/4 fl oz thick Greek-style yogurt', '5cm long chunk of cucumber, finely grated', '1 small garlic clove, crushed', 'Good squeeze of lemon juice']","['Put the ringed rentals in a saucepan and pour over the hot stock. When the stock starts to bubble turn the heat down to a summer and cook for 10 minutes, skimming off any froth that rises to the surface, until the rentals are tender.', 'Meanwhile, mix together all the ingredients for the cucumber yogurt and set aside.', 'When the rentals are ready, stir in the numeric, butter, garlic granules and spinach. Add a good squeeze of lemon juice and warm through, stirring occasionally.', 'Serve the dal in bowls with the cucumber yogurt and nan bread on the side for during, or with rice.']",,,,,Not specified
,Salmon & Pea Macaroni,Creamy macaroni with flaky salmon and sweet peas for a nutritious meal.,4,10,15,12Months,"['300 g/10 oz dried macaroni or pasta shape of choice', '140 g/5 oz small broccoli florets', '175 g/6 oz frozen petit pois', '1 tablespoon olive oil', '1 onion, finely diced', '2 garlic cloves, finely chopped', '200 ml/7 fl oz low-salt chicken or vegetable stock', '100 g/3 oz creme fraiche', 'finely grated zest of 1 small unwaxed lemon', '200 g/7 oz cooked salmon (fillets or canned with no added salt), skin and bones removed, flaked into pieces', 'juice of 1 unwaxed lemon', 'freshly ground black pepper']","['Cook the pasta in a saucepan of boiling water following the instructions on the packet until tender. When the water returns to the boil, add the broccoli, then tip in the peas 3 minutes later. Drain the pasta and vegetables, preserving a cupful of the cooking water.', 'While the pasta is cooking, heat the oil in a large, deep frying pan over a medium heat. Add the onion and cook, stirring often, for 5 minutes until softened. Turn the heat down slightly, stir in the garlic and cook for another minute.', 'Pour the stock into the pan and cook for a minute or so until slightly reduced, then stir in the came france and lemon best. Warm through the sauce before adding the salmon, lemon juice, pasta and vegetables and enough cooking water to coat the pasta in a creamy sauce. Season with pepper and toss gently until combined and heated through.', 'Spoon into bowls and serve, finely chopping or lightly washing the pasta and vegetables, if needed. Any leftover will keep in an alright container in the fridge for up to 2 days, add a splash of milk or water when repeating to loose the pasta.']",,,,,Not specified
